primary_run_id,primary_job_id,repo_full_name,os,requested_php,primary_conclusion,runtime_status,repeat_run_a,repeat_a_conclusion,repeat_a_job_id,repeat_run_b,repeat_b_conclusion,repeat_b_job_id,repeat_status,failure_stage,failure_category,portability_outcome,primary_job_url,repeat_a_job_url,repeat_b_job_url,evidence_source
35220810757,105200271330,BaseMax/LaravelTaskDDD,windows-2022,8.1,success,AVAILABLE,35269909018,success,105366386902,35314890357,success,105504352737,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271330,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366386902,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504352737,GitHub Actions job result / runtime evidence artifact
35220810757,105200273563,CholitaApp/cholita,macos-14,8.4,success,AVAILABLE,35269909018,success,105366389179,35314890357,success,105504354129,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273563,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366389179,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354129,GitHub Actions job result / runtime evidence artifact
35220810757,105200273173,CholitaApp/cholita,ubuntu-22.04,8.4,success,AVAILABLE,35269909018,success,105366388690,35314890357,success,105504354056,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273173,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388690,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354056,GitHub Actions job result / runtime evidence artifact
35220810757,105200273503,CholitaApp/cholita,windows-2022,8.4,success,AVAILABLE,35269909018,success,105366388671,35314890357,success,105504354058,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273503,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388671,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354058,GitHub Actions job result / runtime evidence artifact
35220810757,105200272907,Cut0x/forum-php,macos-14,8.3,success,AVAILABLE,35269909018,success,105366388586,35314890357,success,105504353849,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200272907,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388586,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353849,GitHub Actions job result / runtime evidence artifact
35220810757,105200272516,Cut0x/forum-php,ubuntu-22.04,8.3,success,AVAILABLE,35269909018,success,105366388404,35314890357,success,105504353601,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200272516,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388404,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353601,GitHub Actions job result / runtime evidence artifact
35220810757,105200272671,Cut0x/forum-php,windows-2022,8.3,success,AVAILABLE,35269909018,success,105366388426,35314890357,success,105504353696,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200272671,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388426,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353696,GitHub Actions job result / runtime evidence artifact
35220810757,105200270273,Devsome/silkpanel-cms,macos-14,8.3,success,AVAILABLE,35269909018,success,105366385361,35314890357,success,105504351903,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270273,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385361,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351903,GitHub Actions job result / runtime evidence artifact
35220810757,105200270253,Devsome/silkpanel-cms,ubuntu-22.04,8.3,success,AVAILABLE,35269909018,success,105366385321,35314890357,success,105504351893,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270253,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385321,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351893,GitHub Actions job result / runtime evidence artifact
35220810757,105200270360,Devsome/silkpanel-cms,windows-2022,8.3,success,AVAILABLE,35269909018,success,105366385140,35314890357,success,105504351899,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200270360,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366385140,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504351899,GitHub Actions job result / runtime evidence artifact
35220810757,105200272654,Dziennik-Azayaka/azayaka,macos-14,8.3,success,AVAILABLE,35269909018,success,105366388236,35314890357,success,105504353503,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200272654,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366388236,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353503,GitHub Actions job result / runtime evidence artifact
35220810757,105200271939,Dziennik-Azayaka/azayaka,ubuntu-22.04,8.3,success,AVAILABLE,35269909018,success,105366387333,35314890357,success,105504353053,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271939,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366387333,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353053,GitHub Actions job result / runtime evidence artifact
35220810757,105200271947,Dziennik-Azayaka/azayaka,windows-2022,8.3,success,AVAILABLE,35269909018,success,105366387401,35314890357,success,105504353091,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200271947,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366387401,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504353091,GitHub Actions job result / runtime evidence artifact
35220810757,105200274255,Helg18/megadownloaderrobot,macos-14,7.4,success,AVAILABLE,35269909018,success,105366390115,35314890357,success,105504354611,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200274255,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366390115,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354611,GitHub Actions job result / runtime evidence artifact
35220810757,105200273859,Helg18/megadownloaderrobot,ubuntu-22.04,7.4,success,AVAILABLE,35269909018,success,105366389907,35314890357,success,105504354406,STABLE_SUCCESS,,,REPRODUCIBLE,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35220810757/job/105200273859,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35269909018/job/105366389907,https://github.com/dwiharyani/laravel-cross-os-portability/actions/runs/35314890357/job/105504354406,GitHub Actions job result / runtime evidence artifact
