project_id,repo_full_name,url,default_branch,latest_sha,stars,license,created_at,updated_at,pushed_at,size_kb,archived,fork,disabled,laravel_classification,artisan,app_dir,bootstrap_dir,config_dir,routes_dir,tests_dir_initial,recent_activity,parsed_pushed_at,tests_directory_present,phpunit_config_present,phpunit_config_file,composer_json_present,composer_lock_present,composer_test_script_present,composer_test_scripts,php_version_constraint,laravel_version_constraint,dockerfile_present,compose_present,compose_files,docker_present,eligible,exclusion_reason,screening_timestamp,php_min_version,php_max_version,php_constraint_count,php_multi_version,php_environment_group,laravel_min_version,laravel_max_version,laravel_constraint_count,laravel_multi_version,laravel_environment_group,environment_group,environment_complexity,testing_mechanism,activity_year
P116,cib-Both/Inventory_Management,https://github.com/cib-Both/Inventory_Management,main,,,,2025-02-04T05:32:18Z,2026-01-27T16:42:31Z,2026-06-12T10:39:17Z,1067.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-06-12T10:39:17+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^11.31,False,False,,False,True,Eligible,2026-09-11T14:07:57.318620+00:00,8.2.0,8.2.0,1,False,PHP-8.2,11.31.0,11.31.0,1,False,Laravel-11,PHP-8.2__Laravel-11,Single constraint,PHPUnit,2026
P138,jamesdordoy/Portfolio,https://github.com/jamesdordoy/Portfolio,master,,,,2019-01-30T12:37:54Z,2026-09-08T08:38:12Z,2026-06-29T13:53:56Z,38768.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-06-29T13:53:56+00:00,True,True,phpunit.xml,True,True,False,,^8.3|^8.4,^13.15.0,False,False,,False,True,Eligible,2026-09-11T14:08:09.489109+00:00,8.3.0,8.4.0,2,True,"PHP-Multi[8.3,8.4]",13.15.0,13.15.0,1,False,Laravel-13,"PHP-Multi[8.3,8.4]__Laravel-13",Multi-PHP,PHPUnit,2026
P143,SantanuDatta/BookHive,https://github.com/SantanuDatta/BookHive,main,,,AGPL-3.0,2024-02-01T06:59:18Z,2026-09-02T04:45:24Z,2026-09-02T04:45:13Z,4387.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-02T04:45:13+00:00,True,True,phpunit.xml,True,True,False,,^8.3,^13.30.1,False,False,,False,True,Eligible,2026-09-11T14:08:13.952800+00:00,8.3.0,8.3.0,1,False,PHP-8.3,13.30.1,13.30.1,1,False,Laravel-13,PHP-8.3__Laravel-13,Single constraint,PHPUnit,2026
P145,Cut0x/forum-php,https://github.com/Cut0x/forum-php,main,,,NOASSERTION,2026-02-05T17:11:49Z,2026-08-28T18:26:24Z,2026-08-28T19:31:27Z,1091.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-08-28T19:31:27+00:00,True,True,phpunit.xml,True,True,True,"test: ['@php artisan config:clear --ansi @no_additional_args', '@php artisan test']",^8.3,^13.8,False,False,,False,True,Eligible,2026-09-11T14:08:17.710962+00:00,8.3.0,8.3.0,1,False,PHP-8.3,13.8.0,13.8.0,1,False,Laravel-13,PHP-8.3__Laravel-13,Single constraint,PHPUnit + Composer test,2026
P147,bubblevy/bubbleclinic,https://github.com/bubblevy/bubbleclinic,main,,,MIT,2023-11-30T17:12:05Z,2026-06-01T14:01:38Z,2025-12-18T11:15:01Z,4136.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-12-18T11:15:01+00:00,True,True,phpunit.xml,True,True,False,,^8.1,^10.10,False,False,,False,True,Eligible,2026-09-11T14:08:25.564492+00:00,8.1.0,8.1.0,1,False,PHP-8.1,10.10.0,10.10.0,1,False,Laravel-10,PHP-8.1__Laravel-10,Single constraint,PHPUnit,2025
P161,sprblm/CTFG,https://github.com/sprblm/CTFG,main,,,MIT,2021-07-15T18:26:48Z,2026-07-26T12:34:59Z,2025-02-11T23:32:13Z,6172.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-02-11T23:32:13+00:00,True,True,phpunit.xml,True,True,False,,^7.3|^8.0,^9.0,False,False,,False,True,Eligible,2026-09-11T14:08:37.442818+00:00,7.3.0,8.0.0,2,True,"PHP-Multi[7.3,8.0]",9.0.0,9.0.0,1,False,Laravel-9,"PHP-Multi[7.3,8.0]__Laravel-9",Multi-PHP,PHPUnit,2025
P162,NativePHP/nativephp.com,https://github.com/NativePHP/nativephp.com,main,,,,2023-06-28T21:10:23Z,2026-09-10T15:18:21Z,2026-09-10T15:11:02Z,23805.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-09-10T15:11:02+00:00,True,True,phpunit.xml,True,True,False,,^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:08:41.287886+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit,2026
P164,ploi/roadmap,https://github.com/ploi/roadmap,main,,,MIT,2022-05-03T07:32:43Z,2026-08-27T06:40:47Z,2026-08-06T12:38:49Z,6167.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-08-06T12:38:49+00:00,True,True,phpunit.xml,True,True,True,test: ['vendor/bin/pest tests/'],^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:08:45.674965+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit + Composer test,2026
P176,javdome/unstyled-blade-starter-kit,https://github.com/javdome/unstyled-blade-starter-kit,master,,,,2025-03-12T15:10:25Z,2026-04-30T04:47:26Z,2025-04-23T06:17:47Z,134.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2025-04-23T06:17:47+00:00,True,True,phpunit.xml,True,False,False,,^8.2,^12.0,False,False,,False,True,Eligible,2026-09-11T14:09:01.059468+00:00,8.2.0,8.2.0,1,False,PHP-8.2,12.0.0,12.0.0,1,False,Laravel-12,PHP-8.2__Laravel-12,Single constraint,PHPUnit,2025
P214,agorakit/agorakit,https://github.com/agorakit/agorakit,main,,,AGPL-3.0,2015-07-07T18:12:36Z,2026-09-06T21:00:23Z,2026-02-05T08:07:43Z,15863.0,False,False,False,Confirmed Laravel Application,True,True,True,True,True,True,True,2026-02-05T08:07:43+00:00,True,True,phpunit.xml,True,True,True,test: vendor/bin/phpunit | test-unit: vendor/bin/phpunit --testsuite Unit | test-int: vendor/bin/phpunit --testsuite Integration | test-e2e: vendor/bin/phpunit --testsuite E2E,^8.2,^11.30,False,False,,False,True,Eligible,2026-09-11T14:09:23.556460+00:00,8.2.0,8.2.0,1,False,PHP-8.2,11.30.0,11.30.0,1,False,Laravel-11,PHP-8.2__Laravel-11,Single constraint,PHPUnit + Composer test,2026
